datetime,actual,p50,confidence,top_feature_1,top_feature_2,top_feature_3,top_feature_4,top_feature_5,top_shap_1,top_shap_2,top_shap_3,top_shap_4,top_shap_5
2026-03-01 00:00:00,61.19,75.93019299177692,0.48784913708604316,mcp_lag_1d,mcp_lag_2d,day_of_week,mcp_lag_7d,hourly_trend,-7.015192360715138,-6.906184660718732,-5.843997774489962,-5.510370342931249,-3.9103548803797845
2026-03-01 00:15:00,0.01,75.5595035330469,0.4769453398291359,mcp_lag_1d,mcp_lag_2d,mcp_lag_7d,day_of_week,hourly_trend,-6.9731953831126825,-6.769852847647232,-6.1185163250923695,-5.859738977796089,-3.906894684252106
2026-03-01 00:30:00,0.02,75.38949520272807,0.47544382575756616,mcp_lag_1d,mcp_lag_2d,mcp_lag_7d,day_of_week,hourly_trend,-7.024501628544849,-6.825196491225053,-6.117513293746027,-5.8027112166354575,-3.9215262768853902
2026-03-01 00:45:00,0.02,75.52022243843935,0.47579736559951924,mcp_lag_1d,mcp_lag_2d,mcp_lag_7d,day_of_week,hourly_trend,-7.063163727074624,-6.737893770054962,-6.0795420210279,-5.8296882676555715,-3.9332351092797047
2026-03-01 01:00:00,18.82,72.25109900803609,0.49071005085142594,mcp_lag_1d,mcp_lag_2d,day_of_week,mcp_lag_7d,hourly_trend,-7.342359554373668,-6.697039318169873,-6.279441956702263,-6.037346595924828,-4.027823282050348
2026-03-01 01:15:00,61.53,72.07652003749315,0.48516310602537516,mcp_lag_1d,mcp_lag_2d,day_of_week,mcp_lag_7d,hourly_trend,-7.241197035759281,-6.7719536126609485,-6.324708180962258,-6.214748799402683,-4.056189800103871
2026-03-01 01:30:00,0.02,69.40146699144601,0.4846155941090555,mcp_lag_1d,mcp_lag_2d,mcp_lag_7d,day_of_week,hourly_trend,-8.977196154649752,-6.761875002834216,-6.759954157641309,-6.479174123905326,-4.033376258378937
2026-03-01 01:45:00,0.01,67.36453759973854,0.492742486731084,mcp_lag_1d,mcp_lag_7d,day_of_week,mcp_lag_2d,hourly_trend,-13.74999076063142,-6.737183987050383,-6.677669707112108,-6.387164325751411,-4.513309014507017
2026-03-01 02:00:00,62.78,69.21801205901099,0.47447715990086825,mcp_lag_1d,mcp_lag_2d,mcp_lag_7d,day_of_week,hourly_trend,-7.4100455487747,-6.854334331857749,-6.378754787302459,-6.360314783456234,-4.4544388337451934
2026-03-01 02:15:00,16.35,64.09623111036773,0.48233123972917513,mcp_lag_1d,day_of_week,mcp_lag_7d,mcp_lag_2d,hourly_trend,-12.457973164841523,-7.092319994680438,-6.779653782810791,-6.423820401948297,-4.477263017952655
2026-03-01 02:30:00,0.02,64.73510595201995,0.49235271548562864,mcp_lag_1d,day_of_week,mcp_lag_7d,mcp_lag_2d,hourly_trend,-13.918640653921718,-6.887136648080764,-6.688380462849597,-6.397805168376612,-4.459934576358939
2026-03-01 02:45:00,0.01,64.78875584088647,0.49386212957232245,mcp_lag_1d,day_of_week,mcp_lag_7d,mcp_lag_2d,hourly_trend,-13.792484164307025,-6.815072629217149,-6.690630708325629,-6.36887010558888,-4.46802045990348
2026-03-01 03:00:00,0.01,61.929347321896714,0.4481561703364335,mcp_lag_1d,day_of_week,mcp_lag_7d,mcp_lag_2d,hourly_trend,-12.394350203781686,-7.0150740921429255,-6.857917855074966,-6.6835228294716815,-4.467931036537551
2026-03-01 03:15:00,61.66,61.43880513141645,0.4585209262116783,mcp_lag_1d,day_of_week,mcp_lag_2d,mcp_lag_7d,hourly_trend,-14.298389411349946,-7.059724645090163,-6.791604562224389,-6.660323366875833,-4.457346966910427
2026-03-01 03:30:00,36.82,62.26077644408389,0.456911756827469,mcp_lag_1d,day_of_week,mcp_lag_2d,mcp_lag_7d,hourly_trend,-14.224696007599476,-7.0160102484308124,-6.75197697839992,-6.627109273749443,-4.437691707865643
2026-03-01 03:45:00,0.02,61.415151557185986,0.47766694871006576,mcp_lag_1d,mcp_lag_7d,day_of_week,mcp_lag_2d,hourly_trend,-15.363357766864354,-7.003550837115757,-6.857826016311023,-6.478939043164042,-4.452500388910001
2026-03-01 04:00:00,58.71,62.130648718972644,0.44750530043988457,mcp_lag_1d,day_of_week,mcp_lag_7d,mcp_lag_2d,hourly_trend,-13.961481405347477,-7.073362771100835,-6.718893062984707,-6.581786743937402,-4.598894062142473
2026-03-01 04:15:00,46.7,61.86603609196359,0.46153559697544644,mcp_lag_1d,day_of_week,mcp_lag_2d,mcp_lag_7d,hourly_trend,-14.053644800308783,-7.104492167415649,-6.592606711143414,-6.536339469594899,-4.611875217341169
2026-03-01 04:30:00,0.01,62.350316273709225,0.45759309257447933,mcp_lag_1d,day_of_week,mcp_lag_7d,mcp_lag_2d,hourly_trend,-13.983699458088175,-7.080200108841728,-6.593363122805622,-6.47689343237789,-4.582359325431284
2026-03-01 04:45:00,0.01,61.40307515690543,0.4992768481937644,mcp_lag_1d,day_of_week,mcp_lag_2d,mcp_lag_7d,hourly_trend,-14.104818328119542,-7.35497874444645,-6.419488870759943,-5.586143640984982,-4.404112241922664
2026-03-01 05:00:00,68.87,61.14081832789317,0.4305452373680563,mcp_lag_1d,day_of_week,mcp_lag_7d,mcp_lag_2d,hourly_trend,-13.98484264994227,-7.598487176496186,-6.949444093840206,-6.680750299254977,-4.726821305955397
2026-03-01 05:15:00,69.09,61.068437491624586,0.4564560191120054,mcp_lag_1d,day_of_week,mcp_lag_7d,mcp_lag_2d,hourly_trend,-13.817119191892347,-7.547899962169513,-6.987094400519595,-5.796172159563647,-4.72233650475802
2026-03-01 05:30:00,69.96,69.40042919809122,0.4876495219706296,mcp_lag_1d,day_of_week,mcp_lag_7d,hourly_trend,hour_cos,-13.278426633973575,-7.057989367418859,-6.376372277215031,-4.462222782592711,3.5636614164068545
2026-03-01 05:45:00,72.06,69.24251592434831,0.48132701888565776,mcp_lag_1d,day_of_week,mcp_lag_7d,hourly_trend,mcp_roll7d_mean,-11.95368960405526,-7.170552473717916,-6.456087879493315,-4.452579202494365,-3.3204824687631476
2026-03-01 06:00:00,64.59,64.67049208858457,0.3496026218020599,mcp_lag_1d,day_of_week,mcp_lag_7d,hourly_trend,mcp_roll7d_mean,-14.028251072880026,-7.913454054008416,-7.419769478466983,-4.329993308175237,-3.6073046145658365
2026-03-01 06:15:00,70.87,72.36767752670872,0.2030836038631516,mcp_lag_1d,day_of_week,mcp_lag_7d,mcp_lag_2d,hourly_trend,-13.465521754524243,-8.16830463518914,-7.3411215498400075,5.556459602309383,-4.510742239195409
2026-03-01 06:30:00,73.26,71.26185464118231,0.23907112401082253,mcp_lag_1d,day_of_week,mcp_lag_7d,hourly_trend,mcp_roll7d_mean,-11.67488540539213,-7.739990239364006,-7.457488659033494,-4.408658637611308,-2.8814119911665395
2026-03-01 06:45:00,69.96,72.66980396171029,0.2681622677989717,mcp_lag_1d,day_of_week,mcp_lag_7d,hourly_trend,mcp_roll7d_mean,-8.34170401858879,-7.389838943257277,-6.847202916432497,-4.358445528942544,-2.7895205588555205
2026-03-01 07:00:00,43.82,72.02817900989257,0.3076929066559607,day_of_week,mcp_lag_7d,mcp_lag_1d,hourly_trend,mcp_roll7d_mean,-7.935711978278175,-7.273384064151393,-6.912171766803106,-3.777133863752536,-3.5027046172513434
2026-03-01 07:15:00,0.01,59.5448842811258,0.33110521294345285,mcp_lag_1d,day_of_week,mcp_lag_7d,hourly_trend,mcp_roll7d_mean,-14.969749596784263,-9.009477326066738,-7.4273938644916395,-4.548087884214425,-3.3806394797210557
2026-03-01 07:30:00,0.0,36.502693420852864,0.040579328149968896,mcp_lag_1d,day_of_week,mcp_lag_7d,hourly_trend,net_load_forecast_proxy,-44.08552667862717,-10.687392254051822,-6.900897514026613,-6.680661477639076,4.643147236964664
2026-03-01 08:00:00,0.0,39.260299078676994,0.29150110719178324,mcp_lag_1d,day_of_week,mcp_lag_7d,hourly_trend,day_of_year,-34.120589333666146,-12.345404135245532,-8.5814182767852,-8.011113080036424,4.021915487656146
2026-03-01 08:15:00,0.0,25.905594857966502,0.3185878874506958,mcp_lag_1d,day_of_week,hourly_trend,mcp_lag_7d,mcp_lag_2d,-42.11508961302676,-10.423168751352097,-9.743978993929405,-8.686754793726966,-5.255823408721416
2026-03-01 08:30:00,0.0,23.098559613060853,0.3227931307851257,mcp_lag_1d,day_of_week,hourly_trend,mcp_lag_7d,mcp_lag_2d,-45.92006143647509,-9.562131184179512,-9.392461875084097,-8.786309899382061,-5.720687813908105
2026-03-01 08:45:00,-0.01,22.670290779690628,0.321908374855306,mcp_lag_1d,hourly_trend,mcp_lag_7d,day_of_week,mcp_lag_2d,-47.23605039725198,-9.467189922588812,-8.780146676301165,-7.470289048113107,-7.202216017979001
2026-03-01 09:00:00,-0.1,16.195023020144536,0.36179637334926806,mcp_lag_1d,hourly_trend,day_of_week,mcp_lag_7d,curve_volatility,-47.72959701974848,-10.857808732487536,-9.304842828710763,-8.520127057831061,-4.755545049298567
2026-03-01 09:15:00,-0.1,15.996992720447201,0.36328903251639455,mcp_lag_1d,hourly_trend,mcp_lag_7d,day_of_week,mcp_lag_2d,-47.991029997381226,-10.810898818536376,-8.280278169130828,-7.85068395032837,-5.62977429382145
2026-03-01 09:30:00,-0.13,15.708079210599605,0.3626881378409077,mcp_lag_1d,hourly_trend,mcp_lag_7d,mcp_lag_2d,day_of_week,-48.07622744113635,-10.931294537799518,-8.14794089362246,-7.104641476172079,-6.8334365588775166
2026-03-01 09:45:00,-0.13,15.631679085302425,0.3630682555726935,mcp_lag_1d,hourly_trend,mcp_lag_7d,day_of_week,mcp_lag_2d,-48.318824038034485,-10.793215457330412,-8.240891419495346,-6.757182763062796,-6.640083929532636
2026-03-01 10:45:00,-0.81,5.6826073561027535,0.4092125553525232,mcp_lag_1d,hourly_trend,mcp_lag_7d,day_of_week,mcp_lag_2d,-50.07077568739676,-11.077793079210467,-7.936122320710793,-6.331696355636767,-6.314744663512946
2026-03-01 11:30:00,-0.13,4.71795587760341,0.444886255904577,mcp_lag_1d,hourly_trend,mcp_lag_7d,mcp_lag_2d,day_of_week,-50.568088831218944,-10.873248197605143,-8.530569881174147,-7.014155403124043,-6.088946084154444
2026-03-01 11:45:00,-0.13,4.6656857470454645,0.44553223277450427,mcp_lag_1d,hourly_trend,mcp_lag_7d,mcp_lag_2d,day_of_week,-50.57846007219183,-10.894306222076901,-8.522173856209928,-7.012633489449754,-6.093652157682105
2026-03-01 12:00:00,-1.0,4.7949634083699735,0.46185289306376165,mcp_lag_1d,hourly_trend,mcp_lag_7d,mcp_lag_2d,day_of_week,-50.08911744803911,-10.864069602091243,-8.80720251520814,-6.993492380561667,-6.079269800544177
